Year (coverage),Source Folder,Source File,Area,Risk-assessed Population,With history of smoking (Female),With history of smoking (Male),Binge Drinkers (Female),Binge Drinkers (Male),With Insufficient Physical Activity (Female),With Insufficient Physical Activity (Male),Consumed Unhealthy Diet (Female),Consumed Unhealthy Diet (Male),Overweight (Female),Overweight (Male),Obese (Female),Obese (Male)
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Ilocos Norte,18535,260,975,168,630,0,0,0,0,992,795,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Ilocos Sur,48864,821,3420,738,1746,0,0,0,0,6357,3982,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,La Union,36594,794,3113,1671,4609,0,0,0,0,5259,4599,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Pangasinan,1,1,1,1,1,0,0,0,0,1,1,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of Dagupan,5364,127,409,421,641,0,0,0,0,183,200,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Region 2,287179,6379,23817,7965,27675,17152,16607,24477,20548,16605,12640,4854,3503
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Batanes,2046,48,206,248,216,210,129,339,207,103,70,241,156
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Cagayan,70623,2586,9124,2541,10291,4418,3486,6513,5102,5995,4649,1778,1062
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Isabela,148126,2360,9552,3327,11082,10349,10912,14194,12098,7422,5483,2357,1934
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Nueva Vizcaya,25583,477,926,422,865,449,401,504,414,901,624,134,67
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Quirino,16546,342,1189,371,1404,958,694,1367,940,954,686,203,108
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of Santiago,24255,566,2820,1056,3817,768,985,1560,1787,1230,1128,141,176
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Region 3,832478,26032,75743,38839,85378,17887,15477,19696,17829,47212,37013,9228,7832
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Aurora,13483,334,1338,1187,2082,770,615,1141,887,586,549,550,391
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Bataan,68689,905,4198,1044,2915,165,180,159,177,4534,2566,22,24
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Bulacan,316070,10861,31297,20002,40220,9169,7912,11666,10516,25605,20910,6802,5959
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Nueva Ecija,139373,5288,17980,6948,19940,3226,3141,3499,3848,7673,6534,1408,1120
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Pampanga,104648,2692,8771,3230,8420,4196,3214,2903,2074,1895,1523,26,56
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Tarlac,107773,3605,7047,2908,6187,361,415,328,327,4628,3435,87,71
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Zambales,54706,1097,2913,1624,3165,0,0,0,0,1217,838,103,89
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of Angeles,16251,1007,1603,1263,1608,0,0,0,0,824,494,230,122
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of Olongapo,11485,243,596,633,841,0,0,0,0,250,164,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Region 4A,557262,16514,63723,37436,75834,0,0,0,0,85270,48081,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Batangas,201302,5879,33927,10695,37175,0,0,0,0,30710,22556,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Cavite,138180,3831,10677,8375,15225,0,0,0,0,23472,9820,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Laguna,80792,1872,6314,3080,6959,0,0,0,0,8995,5608,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Quezon,50062,1455,5225,6972,6797,0,0,0,0,8114,3392,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Rizal,70245,2776,6303,7239,8027,0,0,0,0,11492,4866,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of Lucena,16681,701,1277,1075,1651,0,0,0,0,2487,1839,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Region 4B,64371,3634,11964,6102,14114,2335,2399,2944,2385,8118,4982,4431,2516
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Marinduque,2757,9,80,30,107,0,0,2,0,0,0,13,2
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Occidental Mindoro,10588,528,3422,1028,4017,939,702,1158,688,852,475,282,189
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Oriental Mindoro,27169,1913,5036,2787,6194,1067,1362,1352,1322,3455,2703,2381,1563
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Palawan,15792,756,2174,926,2237,311,306,350,331,945,528,830,474
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Romblon,4140,153,358,450,630,18,29,82,44,1046,449,250,97
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of Puerto Princesa,3925,275,894,881,929,0,0,0,0,1820,827,675,191
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Region 5,187803,4740,25593,12329,25186,15101,10053,7436,4538,27568,22077,2244,981
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Albay,25141,404,1192,200,703,492,352,493,385,702,478,301,185
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Camarines Norte,14643,329,1909,841,1400,134,54,173,63,1629,1132,784,153
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Camarines Sur,72298,1577,8483,4068,7346,7797,4771,6651,3992,8355,4877,1093,617
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Catanduanes,16109,497,3966,3074,5751,6595,4826,0,0,6595,4826,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Masbate,18092,1202,5289,2174,5322,0,0,0,0,3363,7039,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Sorsogon,39336,688,4514,1855,4424,0,0,0,0,6605,3588,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of Naga,2184,43,240,117,240,83,50,119,98,319,137,66,26
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Region 6,317987,7167,25791,8469,28032,110,77,712,547,10586,8217,197,153
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Aklan,8307,106,390,301,414,76,45,178,148,766,386,9,1
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Antique,32856,598,3314,638,3668,0,0,0,0,1516,923,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Capiz,54278,546,4558,1150,4856,0,0,0,0,935,654,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Guimaras,96392,182,2058,83,1061,34,32,534,399,2406,1560,188,152
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Iloilo,96392,5330,14437,5789,16941,0,0,0,0,4058,4105,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of Iloilo,29762,405,1034,508,1092,0,0,0,0,905,589,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Region 7,196858,9387,37426,30846,58872,29915,24824,35231,27276,41731,26885,21101,15526
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Bohol,31058,4717,18753,15444,29484,14988,12442,17634,13665,20880,13459,10569,7776
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Cebu,116620,702,2263,2130,3666,1765,1143,2117,1447,3224,2005,893,541
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of Cebu,23574,3250,14258,11350,22773,11101,9963,12769,10754,14060,9451,9183,6908
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of Lapu-Lapu,16821,624,1740,1677,2420,737,454,1362,618,3195,1790,366,223
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of Mandaue,8785,94,412,245,529,1324,822,1349,792,372,180,90,78
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Region 8,148921,6281,16128,14085,20779,331,220,337,221,12931,8890,56,58
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Biliran,5099,157,383,614,657,331,220,337,221,563,298,56,58
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Eastern Samar,16319,107,698,1701,1904,0,0,0,0,854,592,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Leyte,31568,1182,4309,2882,3845,0,0,0,0,2087,1140,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Northern Samar,16914,465,1701,1380,2245,0,0,0,0,2362,1256,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Southern Leyte,33621,1143,4033,2712,6017,0,0,0,0,4827,3952,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Samar,20700,2636,3666,2733,3770,0,0,0,0,1202,695,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Ormoc City,7112,76,217,355,600,0,0,0,0,662,730,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of Tacloban,17588,515,1121,1708,1741,0,0,0,0,374,227,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Region 9,110102,2843,14201,3388,11450,2220,1587,6108,4063,5483,3356,972,770
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Zamboanga del Norte,23556,740,3045,811,2509,1088,766,1681,1335,610,349,278,203
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Zamboanga del Sur,35007,872,5085,1288,4386,789,572,1834,1064,1805,1207,215,97
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Zamboanga Sibugay,33079,698,3880,912,3154,343,249,716,657,1191,793,479,470
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of Isabela,6855,164,833,134,467,0,0,740,477,740,477,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of Zamboanga,11605,369,1358,243,934,0,0,1137,530,1137,530,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Region 10,130229,0,0,6493,16293,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Bukidnon,41506,0,0,2856,7978,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Camiguin,3928,0,0,168,365,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Lanao del Norte,20862,0,0,785,1806,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Misamis Occidental,15966,0,0,633,1469,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Misamis Oriental,21669,0,0,0,0,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of Cagayan De Oro,19669,0,0,1718,4132,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of Iligan,6629,0,0,333,543,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Region 11,278894,10727,33858,22070,41444,60360,36820,53981,34782,56292,32562,483,374
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Davao de Oro,51353,1548,7263,3706,8821,0,0,0,0,14231,8933,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Davao del Norte,71198,1910,9470,5333,12213,15708,9711,16168,9562,18754,12194,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Davao Oriental,31958,1033,5056,3303,6194,8046,5597,7811,7900,354,221,483,374
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Davao del Sur,29696,1776,3668,2942,4341,10388,5636,9751,5015,6989,2915,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Davao Occidental,12627,757,2167,751,1685,1774,1140,1588,1676,1953,1047,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of Davao,82062,3703,6234,6035,8190,24444,14736,18663,10629,14011,7252,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Region 12,161837,2638,20207,3849,19612,0,0,0,0,10000,7001,10087,6692
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Cotabato,50629,1222,7300,1523,7262,0,0,0,0,3344,2215,3344,2214
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Sarangani,15532,202,1600,240,1157,0,0,0,0,923,560,590,311
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,South Cotabato,26822,319,2807,499,2611,0,0,0,0,2388,1279,2388,1279
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Sultan Kudarat,60648,848,8284,1328,8102,0,0,0,0,2894,2426,2894,2425
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of General Santos,8206,47,216,259,480,0,0,0,0,451,521,871,463
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Caraga,111328,3920,15928,9070,17543,9866,5992,12484,8063,14521,8902,4288,2059
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Agusan del Norte,19973,505,2180,1446,2570,2382,1267,2921,1666,2399,1429,1276,552
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Agusan del Sur,29616,1312,5458,1898,5096,1787,1386,2298,1958,2079,1517,735,431
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Surigao del Norte,26038,645,2969,2414,3629,3289,1518,4068,2010,3714,2176,1002,426
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Surigao del Sur,17028,850,3514,2195,4121,2408,1821,3197,2429,3218,1874,1275,650
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Dinagat Islands,3569,71,417,294,580,0,0,0,0,677,348,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of Butuan,15104,537,1390,823,1547,0,0,0,0,2434,1558,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,BARMM,1,1,1,1,1,1,1,1,1,1,1,1,1
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Basilan,1,1,1,1,1,1,1,1,1,1,1,1,1
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Lanao del Sur,1,1,1,1,1,0,1,1,1,1,1,1,1
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Maguindanao del Norte,1,1,1,1,1,0,0,0,0,1,1,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Maguindanao del Sur,1,1,1,1,1,0,0,0,0,1,1,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Sulu,1,1,1,1,1,0,0,0,0,1,1,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Tawi-Tawi,1,0,1,0,1,1,1,1,1,1,1,1,1
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Special Geographic Area (SGA),1,1,1,1,1,1,1,1,1,1,1,1,1
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of Cotabato,1,1,1,1,1,0,0,0,0,1,1,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,NIR,130733,4612,20148,7249,21491,2066,1117,0,0,12104,7902,2182,1008
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Negros Occidental,90696,3653,16130,4995,16300,0,0,0,0,6680,4915,0,0
