Year (coverage),Source Folder,Source File,Area,Risk-assessed Population,With history of smoking (Female),With history of smoking (Male),Binge Drinkers (Female),Binge Drinkers (Male),With Insufficient Physical Activity (Female),With Insufficient Physical Activity (Male),Consumed Unhealthy Diet (Female),Consumed Unhealthy Diet (Male),Overweight (Female),Overweight (Male),Obese (Female),Obese (Male)
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Batanes,962,16,32,31,46,63,29,66,45,30,20,59,24
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Cagayan,29332,1738,3817,1027,3593,2207,2021,3037,2175,2118,1804,599,466
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Isabela,51813,1249,3526,941,3324,5026,4394,6275,4989,2625,1798,732,511
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Nueva Vizcaya,9134,218,403,89,263,321,238,274,200,252,203,47,38
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Quirino,6530,103,371,43,299,341,328,386,347,273,236,60,37
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of Santiago,4338,117,381,64,407,291,245,266,229,250,208,16,12
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Region 3,288689,7247,17878,5612,16500,6385,4821,5567,4348,14301,9941,2735,1873
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Aurora,2725,62,190,128,267,47,13,301,241,101,65,128,70
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Bataan,23542,193,886,127,629,16,12,14,8,1516,966,1,3
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Bulacan,88062,2721,6273,2814,7119,3408,2319,2931,2115,7306,5162,1949,1410
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Nueva Ecija,44681,1297,4295,1104,3942,1205,986,892,874,1959,1387,478,267
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Pampanga,50166,648,2468,331,1989,1587,1362,1365,1020,848,592,28,49
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Tarlac,44480,1803,2561,688,1348,112,123,64,90,1608,1191,27,12
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Zambales,22912,266,622,238,642,8,4,0,0,565,340,51,20
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of Angeles,6459,201,431,106,407,2,2,0,0,284,166,73,42
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of Olongapo,5662,56,152,76,157,0,0,0,0,114,72,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Region 4A,77835,2836,6800,3390,9251,0,0,0,0,5502,6311,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Batangas,27860,262,2219,971,7084,0,0,0,0,2469,1922,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Cavite,20484,1020,2227,864,206,0,0,0,0,140,2495,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Laguna,11155,394,822,822,365,0,0,0,0,1740,199,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Quezon,6217,388,994,275,851,0,0,0,0,762,752,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Rizal,9950,769,368,264,630,0,0,0,0,320,916,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of Lucena,2169,3,170,194,115,0,0,0,0,71,27,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Region 4B,16271,925,2192,847,2412,667,609,613,495,1900,1305,864,590
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Marinduque,1576,2,41,6,62,0,0,0,0,1,0,3,2
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Occidental Mindoro,2933,162,572,146,581,311,225,270,185,154,133,87,37
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Oriental Mindoro,6912,395,922,432,1102,218,264,209,207,832,643,554,407
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Palawan,3078,199,358,70,266,126,114,112,91,146,105,50,31
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Romblon,872,122,163,115,242,12,6,22,12,352,214,55,49
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of Puerto Princesa,900,45,136,78,159,0,0,0,0,415,210,115,64
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Region 5,59568,1890,5896,2148,5214,2865,1658,2674,1599,8178,5085,593,369
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Albay,11990,37,204,27,139,156,91,67,59,141,56,34,27
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Camarines Norte,1982,366,807,301,462,66,25,48,24,1171,694,13,5
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Camarines Sur,20006,611,1756,447,1453,2623,1527,2546,1507,1829,1138,545,337
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Catanduanes,4301,95,672,461,1044,0,0,0,0,1693,1084,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Masbate,4753,470,1056,506,930,0,0,0,0,1192,831,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Sorsogon,15803,304,1395,406,1177,0,0,0,0,2145,1279,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of Naga,733,7,6,0,9,20,15,13,9,7,3,1,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Region 6,137613,3137,7890,1912,6809,340,185,400,228,3462,2263,107,68
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Aklan,5806,81,159,57,179,251,111,106,62,301,155,5,1
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Antique,13260,382,888,146,870,0,0,0,0,572,291,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Capiz,25333,290,1733,440,1464,0,0,0,0,418,267,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Guimaras,39385,80,876,42,535,89,74,294,166,803,519,102,67
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Iloilo,39385,2218,3953,1100,3433,0,0,0,0,1109,825,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of Iloilo,14444,86,281,127,328,0,0,0,0,259,206,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Region 7,56312,4156,9847,6104,12932,10325,7418,10918,7626,11797,7418,5250,3491
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Bohol,13475,2088,4944,3060,6485,5183,3729,5480,3824,5914,3726,2640,1760
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Cebu,30446,491,901,718,1250,870,609,920,592,1202,686,310,203
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of Cebu,7215,1303,3257,1997,4444,3747,2630,3902,2751,3604,2268,2123,1420
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of Lapu-Lapu,1851,251,644,274,588,259,196,414,266,1007,676,166,103
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of Mandaue,3325,23,101,55,165,266,254,202,193,70,62,11,5
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Region 8,70141,0,0,0,0,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Biliran,1670,0,0,0,0,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Eastern Samar,10013,0,0,0,0,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Leyte,11708,0,0,0,0,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Northern Samar,5365,0,0,0,0,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Southern Leyte,20628,0,0,0,0,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Samar,9565,0,0,0,0,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Ormoc City,4891,0,0,0,0,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of Tacloban,6301,0,0,0,0,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Region 9,34075,1071,3538,805,2777,1423,888,1967,1343,1327,857,311,214
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Zamboanga del Norte,9966,251,886,214,728,1157,695,817,631,255,169,114,81
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Zamboanga del Sur,9280,299,1118,294,967,249,175,611,348,435,270,55,23
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Zamboanga Sibugay,9203,261,901,211,726,17,18,178,111,276,165,142,110
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of Isabela,1608,58,190,32,119,0,0,185,135,185,135,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of Zamboanga,4018,202,443,54,237,0,0,176,118,176,118,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Region 10,38504,0,0,2512,6046,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Bukidnon,10290,0,0,389,1224,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Camiguin,853,0,0,22,86,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Lanao del Norte,5011,0,0,102,332,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Misamis Occidental,6845,0,0,327,525,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Misamis Oriental,6378,0,0,1221,2656,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of Cagayan De Oro,5283,0,0,328,966,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of Iligan,3844,0,0,123,257,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Region 11,85877,3166,8806,5609,11048,19390,13869,17170,12380,16533,10704,199,111
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Davao de Oro,16585,415,1962,965,2248,0,0,0,0,4143,2784,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Davao del Norte,22366,628,2225,1018,2761,5718,3914,5338,3672,5332,3497,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Davao Oriental,10105,464,1254,784,1568,2711,1897,2613,2272,154,86,199,111
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Davao del Sur,10276,472,1107,1002,1457,3550,2321,3221,2078,2107,1137,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Davao Occidental,3488,175,482,180,484,669,633,668,591,825,371,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of Davao,23057,1012,1776,1660,2530,6742,5104,5330,3767,3972,2829,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Region 12,45188,883,4258,566,2906,0,0,0,0,2119,1552,2258,1577
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Cotabato,14701,375,2292,198,1128,0,0,0,0,705,532,706,531
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Sarangani,6564,150,445,63,294,0,0,0,0,263,200,314,177
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,South Cotabato,7418,124,455,95,429,0,0,0,0,543,295,543,295
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Sultan Kudarat,14325,226,1033,174,988,0,0,0,0,538,461,537,460
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of General Santos,2180,8,33,36,67,0,0,0,0,70,64,158,114
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Caraga,40580,1397,3547,1949,3094,3799,2034,3844,2284,4153,2312,1402,759
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Agusan del Norte,6902,198,528,292,664,882,590,941,650,750,471,465,284
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Agusan del Sur,8504,345,1006,443,3,561,3,452,2,427,1,165,2
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Surigao del Norte,11615,258,729,386,821,1402,812,1446,884,1071,687,383,180
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Surigao del Sur,8189,457,992,650,1252,954,629,1005,748,1122,715,389,293
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Dinagat Islands,1590,38,54,39,91,0,0,0,0,222,129,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of Butuan,3780,101,238,139,263,0,0,0,0,561,309,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,BARMM,1,1,1,1,1,1,1,1,1,1,1,1,1
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Basilan,1,1,1,1,1,1,1,1,1,1,1,1,1
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Lanao del Sur,1,1,1,1,1,1,1,1,1,1,1,1,1
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Maguindanao del Norte,1,1,1,1,1,0,0,0,0,1,1,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Maguindanao del Sur,1,1,1,1,1,0,0,0,0,1,1,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Sulu,1,1,1,0,1,0,0,0,0,1,1,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Tawi-Tawi,1,0,1,0,1,1,1,1,1,1,1,1,1
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Special Geographic Area (SGA),1,1,1,1,1,1,1,1,1,1,1,1,1
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of Cotabato,1,1,1,1,1,0,0,0,0,1,1,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,NIR,47193,576,1674,1567,5419,749,496,0,0,3562,2583,449,233
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Negros Occidental,35158,185,582,1110,4040,0,0,0,0,2253,1752,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Negros Oriental,7383,275,761,314,897,749,496,0,0,511,383,449,233
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Siquijor,1926,29,125,71,205,0,0,0,0,221,116,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of Bacolod,2726,87,206,72,277,0,0,0,0,577,332,0,0
2nd Quarter 2025,NCD2024-Q2,C:\DATABASES\NCD2024-Q2\NCD\1d. Risk Factors SC.xlsx,NCR,306756,1319,2806,2498,4626,11709,7815,7390,5218,12110,7979,6193,3766
